Episode,Summed_Reward
0,-9223372036854775807
1,23.0
2,22.0
3,14.0
4,20.0
5,14.0
6,13.0
7,118.0
8,24.0
9,256.0
10,22.0
11,57.0
12,33.0
13,21.0
14,29.0
15,53.0
