Episode,Summed_Reward
1,17.0
2,14.0
3,15.0
4,14.0
5,15.0
6,12.0
7,47.0
8,41.0
9,42.0
10,15.0
11,17.0
12,17.0
13,23.0
14,18.0
15,19.0
16,47.0
17,32.0
18,55.0
19,45.0
20,10.0
21,34.0
22,45.0
23,116.0
24,84.0
